Article Number,Dates,Fatality Range,Countries
354," Friday,  today,  a,  decade",[ 352 to  two]," U, S,  China,  China,  W,  China,  Beijing,  the,  States,  China,  China,  the, 's,  of,  China,  U,  China,  China, ., ., ASHINGTON,  United,  People,  Republic,  China, .S."
355," next,  Friday,  more,  a,  next,  October,  July,  years,  years,  year,  than,  year,  summer",[ 2 to 1]," England,  U,  U,  England,  L,  United,  England,  England,  the,  States,  England,  the,  States,  the,  States,  the,  States,  England,  the,  States,  England, .S., .S., ONDON,  States,  United,  United,  United,  United,  United"
356," 87,  the,  Sept.,  87,  today,  1970,  day,  29",[ 354 to  two]," Philadelphia,  New,  Greenwich,  Conn,  Philadelphia,  New,  City,  New,  York,  York,  York"
357," monthly,  September,  season,  Friday,  August,  April,  five,  one,  mid,  earlier,  the,  this,  a,  ago,  a,  earlier,  annual,  weeks,  2021, andemic, -decade, -day, -September,  in,  week,  week,  year,  year","[ 263 to ,000]",N/A
358," 1911,  Saturday,  Oct, , 18,  Oct, ,,  Each, 2009,  the,  20th,  150,  The,  Aug, . 8, 81, . 8,  1925,  week,  early,  century, 6,  day, .",[ 356 to  500]," Paris,  Florence,  France,  Italy,  Greece,  London,  Venice,  Turkey,  Italy,  Italy,  Paris, ntine"
359," 15,  today,  October, ade,  2021",[ 15 to .]," Hex,  Hex,  Hex,  Hex,  the,  States,  Texas,  Austin, m, apolis, apolis, apolis, apolis,  United"
360," last,  a,  Saturday,  41,  15,  last,  2022,  28,  young,  year,  recent,  years,  year,  years",[ 358 to  two]," Fr,  South,  FR,  South,  Cape,  Fr,  South,  South,  South, ra, anschhoek,  Africa, ANSCHHOEK,  Africa,  Town, anschhoek,  Africa,  Africa,  Africa"
361," this,  season,  Earlier,  year,  2018,  election,  this",[ 359 to 50]," Pennsylvania,  New,  Georgia,  Arizona,  GE,  Georgia,  AR,  Arizona,  NE,  Nevada,  P,  Pennsylvania,  Hampshire, ORGIA, IZONA, VADA, ENNSYLVANIA"
362," this,  1990,  1987,  a,  century,  2009,  2013,  1936,  1990,  72,  2014,  fall,  full",[ 10 to  two]," Pennsylvania,  Steel,  Atlanta, 's,  City"
363," Friday,  decades,  Last,  this,  year,  February,  2021,  Late,  year,  present, day,  Friday,  year,  year,  last, -",[ 361 to  two]," Che,  Russia,  Ukraine,  Ukraine,  Belarus,  Russia,  Russia,  Russia,  Ukraine,  Ukraine,  Germany,  the,  Union,  Moscow,  Russia, chnya,  Soviet"
364," late,  a,  quarter,  2000,  a,  days,  just,  days,  2008,  2003,  single,  few,  two",[ 14 to 2]," Iraq,  New,  Hampshire"
365," 80,  the,  Sept,  80,  27,  two,  1969,  2011,  two,  2013,  1990s, . 23,  years,  years",[ 363 to  two]," Russia,  Miami"
366," this,  Friday,  this,  Monday,  Wednesday,  this, This,  May,  this,  May,  Thursday,  Oct,  another,  years,  year,  year,  year,  year,  4,  year,  25, th, . 16,  five",[ 24 to  three]," U, S,  North,  North,  Japan,  W,  North,  U.S,  North,  Pyongyang,  Japan,  The,  States,  South,  North, The,  People,  Republic,  Korea, D,  U, S,  North,  North,  Pyongyang,  the,  States,  South,  Japan,  North,  North,  Washington,  Russia,  Ukraine,  New,  Beijing,  North,  China, ., ., ets,  Korea,  Korea, ASHINGTON,  Korea, .,  Korea,  United,  Korea,  Korea,  Democratic, 's,  of, PRK, ., .,  Korea,  Korea,  United,  Korea,  Korea,  Korea,  York,  Korea"
367," Friday,  the,  1960,  years,  17,  71,  2008,  this,  November,  late, s,  summer",[ 365 to  two]," San,  Pennsylvania,  Francisco"
368," 92,  1980,  Tuesday,  92,  Friday,  1980,  the,  We,  the,  1973,  1979,  1983, a, imar,  late, imar era,  1990s,  year",[ 14 to  500]," Germany,  We,  Bad,  Bon,  Germany,  West,  Berlin,  the,  States,  Germany,  United, n,  Germany, atz,  Godesberg, n, atz,  Germany, atz,  United, platz,  States"
369," the,  decades,  early,  84,  the,  1920s,  September,  1920s",[ 367 to  two]," WE,  Calif,  Lincoln,  Sisk,  Oregon,  Louisiana,  Mississippi,  Arkansas,  Lincoln,  Lincoln,  Weed,  Lincoln,  Lincoln,  California,  Santa,  Paradise,  Green,  Lincoln, fire, roys, ED, .,  Heights, iyou County,  Heights,  Heights,  Heights,  Heights,  Rosa, ville,  Heights"
370," March,  August,  millennial,  a,  short,  1972,  the,  few,  years,  past",[ 368 to  two],N/A
371," 80,  Sept,  80,  the,  19th,  1980,  just,  year,  1880,  the,  of,  20th,  those,  early,  10, . 25,  late,  century,  this, -1917,  turn,  the,  century,  heady,  years,  years",[ 369 to  500]," Te,  N,  London,  Boston,  Chicago, aneck, .J."
372," Thursday,  a,  Friday,  Thursday,  38,  this,  the,  period,  2021,  2019,  a,  Sept,  2021,  Thursday,  Friday,  every,  day,  Friday,  Thursday,  59, year, old,  week, -year-old,  year,  same,  week, . 30,  single, -, -",[ 370 to  two]," NEW,  New,  City,  Manhattan,  Bronx,  Bronx,  YORK,  York, th, as"
373," last,  1991,  February,  January,  2020,  Today,  last,  January,  last,  month,  month,  month","[ 2 to ,000]"," Russia,  Ukraine,  Moscow,  China,  Kyr,  the,  Union,  Kyr,  Taj,  Russia,  Ukraine,  Kyr,  B,  Ukraine,  Russia,  Pax,  Kazakhstan,  Moscow,  Armenia,  Azerbaijan,  Armenia,  Moscow,  Azerbaijan,  Armenia,  Ukraine,  China,  Russia,  Kyr,  Taj, ias, ium, ps, gyzstan,  Soviet, gyzstan, ikistan, gyzstan, ishkek, gz,  Russica, cows, gyzstan, ikistan"
374," Thursday,  2020,  15,  March,  2020",[ 372 to  500]," NEW,  New,  City,  YORK,  York, ks, iana, s"
375," this,  last,  the,  weeks,  Election,  the,  2020,  May,  the,  Oct,  2020,  week, ur,  year,  final,  Day,  summer,  spring, . 25",[ 100 to  About]," Pennsylvania,  M,  Pa,  West,  Pennsylvania,  Pittsburgh,  West, ure, URRYSVILLE, ., moreland County, bs, moreland County, sylvanias"
376," four,  20,  Thursday,  September,  next,  next,  August,  age,  annual,  1975,  this,  the,  quarter,  each,  previous years,  decades, 23,  year,  year,  65,  years,  third,  of,  year",[ 17 to .9 million],N/A
377," the,  of,  the,  three,  1985,  off, day,  that,  29,  61,  three,  summer,  1985,  next,  days, -,  day, -year-old,  days",[ 15 to 294]," One,  New,  New,  Cooper,  Cooper, onta,  York,  York, stown, a, stown"
378," Thursday,  Friday,  a,  Friday,  Friday,  Friday,  Friday,  a,  earlier,  every, cows,  day,  day,  day",[ 10 to  two]," Ret,  Russia,  KY,  Ukraine,  Ukraine,  Ukraine,  Russia,  Belarus,  Ukraine,  Russia,  Ukraine,  Nik,  Zapor,  My,  K,  Ber,  Zapor,  Z, reat, ia, IV, opol, per, izhzhia, kolaiv, es, herson, islav, izhzhia, aporizhzhia, per, ky"
379," 2050,  almost,  decade,  Friday,  2050,  2019,  the,  decade,  2015,  this,  20,  20,  2050,  a,  previous,  week, 60, 70",[ 2 to  zero]," India,  China,  Montreal"
380," Friday,  2012,  2016,  last,  2012,  2014,  20,  2011,  2020,  2012,  year,  years",[ 147 to .5 million]," New,  Manhattan,  Manhattan,  Manhattan,  York"
381," a,  Saturday,  41,  15,  last,  2022,  28,  young,  a,  weekend,  recent,  years,  year,  years,  recent",[ 2 to ys]," FR,  South,  Cape,  South,  Fr,  South,  South,  South, ra, ANSCHHOEK,  Africa,  Town,  Africa, anschhoek,  Africas,  Africa,  Africa"
382," 66,  the,  the,  32,  35,  Sept,  66,  1980s,  mid-1980s, s, . 14",[ 380 to  some]," Hob,  New,  Bas,  Switzerland,  Switzerland, oken,  Jersey, el"
383," a,  Friday","[ 3 to ,000]",N/A
384," 29,  2015,  decades,  20,  old, s",[ 1 to 2]," Tokyo,  TO,  Tokyo,  Tokyo,  Tokyo,  Tokyo,  Har,  Nak,  Sh,  Japan, KYO, apans, ajuku, ameguro, ibuya"
385," Thursday,  60,  ago,  month,  weeks,  Friday,  Friday,  earlier,  week,  years,  this,  this",[ 383 to  tens]," Ukraine,  New,  U,  Turkey,  Prague,  New,  York, .S.,  York"
386," last,  1994,  Friday,  this,  2005,  Friday,  fall",[ 384 to  two]," L,  Britain, ONDON"
387," 57,  96,  85,  several,  last,  1935,  this,  at,  60,  old,  80,  their,  70,  54, -year-old, -year-old, -year-old,  days,  week,  week,  least,  years, s,  90s, s",[ 119 to  two-thirds]," Saras,  Charlotte,  Fort,  Beach,  Florida,  Florida,  North,  Charlotte,  Lee,  Lee,  Fort,  Beach, ota,  County,  Myers,  Carolina, idas,  County,  Myers"
388," Friday,  Thursday,  2019,  Friday,  the,  fiscal,  Friday,  April,  Sunday,  mid,  2015,  current,  year, -April","[ 100 to ly 17,000]"," New,  NEW,  New,  City,  New,  Texas,  New,  York,  YORK,  York,  York, as,  Yorks"
389," 15,  Their,  15,  their,  recent,  30,  2019,  1990,  15,  24,  27,  the,  30,  20,  ages,  to,  15,  2019,  the,  week,  Weeks,  30s,  weeks,  30s,  decades,  weeks, s,  past,  years, s,  35,  39,  weeks,  16th",[ 27 to .6],"S,  the,  States,  the,  States, .C,  United,  United"
390," 2009,  two,  later,  10,  Thursday,  Monday,  2009,  years, -year-old",[ 388 to 75]," AT,  Georgia,  Georgia,  New,  Atlanta, LANTA,  York"
391," nearly,  years,  around,  years,  months,  20,  later,  10,  old",[ 389 to  dozens]," CONC,  N,  North,  Atlanta,  ATL,  Germany,  Georgia,  W,  Germany,  Atlanta,  Stone,  the,  States, ORD, .C.,  Carolina, ty, iesbaden, .,  Mountain,  United"
392," Friday,  May,  Friday,  nine,  Friday,  10,  the,  Friday,  Monday,  the,  24,  nights,  day,  summer",[ 19 to  two]," HOU,  U,  Texas, valde, STON, valde, redondo"
393," Friday,  a,  September,  a,  earlier,  November,  August,  month,  month, -up",[ 1 to .7]," H,  Md,  U, S,  H, M,  H,  Pennsylvania,  Arizona,  Kentucky, orsen, AGERSTOWN, ., ., ., agerstown, d.,, agerstown"
394," Thursday,  29, old,  52,  Friday,  Thursday,  eight,  pregnant,  June,  Friday,  31,  4,  month,  last, -year-, ong,  months, ands,  next,  year",[ 24 to  six]," Thailand,  N,  Thailand,  Thailand,  the,  States,  Nong,  Lamp, tita, AKLANG, ongkul, adhin, ongkul, kul,  United,  Bua, hu, pha, pa, pha"
395," days,  weeks,  many,  45,  2015,  2018,  This,  2015,  November,  recent,  days,  through,  year,  months",[ 100 to .8 million]," U,  D,  Panama,  the,  States,  the,  States,  Venezuela,  U.S,  the,  States,  Venezuela,  Ukraine,  Colombia,  Ecuador,  the,  States,  Venezuela, .S., ARIÉN GAP, ga, én,  United,  United, .,  United,  United"
396," Three,  2018,  last,  years,  1969,  Thursday,  the,  several,  nearly,  years,  July,  the,  last,  years,  year,  past,  months,  13,  2021,  years,  year",[ 39 to s]," SAN,  Calif, TA ANA, ."
397," Friday,  less,  a,  the,  of,  month,  every,  Friday,  Friday,  Friday,  Friday,  Friday,  a,  earlier,  than,  week,  start,  the,  day,  day",[ 10 to  two]," Russia,  Russia,  Ukraine,  Ukraine,  K,  Z,  Zel,  Ukraine,  Russia,  Z,  My,  Nik,  Ber,  K,  Zapor,  Z, els, enskyy, eralds, ia, enskyy, herson, aporizhzhia, ksyy, enskyys, ry, oshenko, aporizhzhia, kolaiv, opol, per, islav, herson, izhzhia, per, aporizhzh"
398," Saturday,  Oct, ,,  Oct, ,,  Each, 2009,  the,  20th,  150,  The,  Aug, ,,  a, . 8,  1881, . 8,  1925, ias,  week,  early,  century, 6, ntine,  day, . 21,  1911,  Monday",[ 396 to  500]," Italy,  France,  Italy,  Greece,  London,  Venice,  Turkey,  Italy,  Paris"
399," weeks,  The,  day,  1913,  a,  ago,  more,  a,  another,  this,  the,  year,  so, senals,  next, senals,  century,  than,  decade,  week,  weekend,  last,  or",[ 25 to 7]," L,  Tottenham,  North, ONDON, quered,  London"
400," 19,  her,  30,  nearly,  years,  age,  May,  Dec, th-century,  early, s,  125, s,  60, . 23",[ 398 to  two]," Austria,  Vienna,  Vienna,  Austria,  Hungary,  Greece,  England, ENNA, illa, absburg, burg, ys, isi, ennese"
401," September,  last,  season,  Friday,  August,  a,  earlier,  September,  the,  the,  months,  Nov,  months,  August,  July,  last,  the,  year,  a, ools,  month,  month,  year, emic,  prior, . 2,  week,  last,  and,  half",[ 0 to .7]," U,  New,  United, .S.,  York,  States"
402," this,  1990,  1987,  a,  century,  2009,  2013,  1936,  1990,  72,  2014,  fall,  full",[ 10 to  two]," Penn,  City,  Atlanta, sylvanias Steel, urnia"
403," Friday,  January,  April,  Thursday","[ 100,000 to ,700]"," NEW,  New,  City,  Manhattan,  New,  Estonia,  Staten,  Texas,  YORK,  York,  York,  Island"
404," Thursday,  Friday,  this,  today,  Friday,  later,  month,  Oct,  21,  week,  this, . 20",[ 402 to pes]," P,  Russia,  Prague,  Russia,  Brussels,  Germany,  Germany, RAGUE"
405," 21,  Friday,  the,  20, st-century,  day, -month",[ 403 to  500]," W,  the,  States,  U, S,  the,  States,  Iraq,  Syria,  U, S, ASHINGTON,  United, ., .,  United, ., ."
406," Friday,  this,  Friday,  Saturday,  Sunday,  Monday,  Saturday,  Sunday,  just,  days,  November,  Sept,  August,  weekend,  10, . 1",[ 120 to  three]," San,  Prov,  Nicaragua,  Bar,  Colombia,  Nicaragua,  Laguna,  Per,  Puerto,  Puerto,  Honduras,  Nicaragua,  Laguna,  Per,  San,  Nicaragua,  San,  Prov,  Nicaragua,  Florida,  South,  Andrés, idencia, ranquilla, rés, idencia, ina,  de, las,  Cabezas,  Cabezas,  de, las, fields,  Andrés, idencia,  Andrés, idencia,  Carolina"
407," Just,  months,  Today,  August,  a,  earlier,  Wednesday,  this,  Wednesday,  the,  months,  12,  ago,  year,  winter,  coming",[ 405 to -sixth]," China,  Russia,  Chin,  China,  China,  China,  Ukraine,  Chin,  U, S,  Russia,  Russia,  the,  Union,  China,  Russia,  Moscow,  Chin,  Russia,  Russia,  China,  Russia,  China,  Russia,  Saudi,  China,  Chin, as, as, .,  European, as,  Arabia, as, as"
408," Friday,  every,  Thursday,  March,  year",[ 406 to  two]," U, S,  the,  States,  U, S,  U, S,  the,  States,  the,  Union,  U, S,  Washington,  Brussels,  the,  States,  U, S,  the,  States,  Washington,  Brussels,  U, S,  the,  States, ., .,  United, ., ., ., .,  United,  European, pes, ., .,  United, ., .,  United, ., .,  United"
409," Friday,  less,  a,  the,  of,  month,  every,  Friday,  Friday,  Friday,  Friday,  Thursday,  recent,  than,  week,  start,  the,  day,  days",[ 10 to  two]," Russia,  Ukraine,  Russia,  Ukraine,  Ukraine,  K,  Zapor,  Zel,  Ukraine,  Russia,  Z,  My,  Nik,  Ber,  K,  Zapor,  Z, ia, kyy, herson, izhzhia, ksyy, enskyys, rylo, ymoshenko, aporizhzhia, kolaiv, opol, per, islav, herson, izhzhia, per, aporizhzhia"
410," a,  Saturday,  41,  15,  last,  2022,  28,  young,  a,  weekend,  recent,  years,  year,  years,  recent",[ 2 to ys]," FR,  South,  Cape,  South,  Fr,  South,  South,  South, heid, ANSCHHOEK,  Africa,  Town,  Africa, anschhoek,  Africas,  Africa,  Africa"
411," Election,  This,  only,  day,  2016,  2012,  Day,  week,  one",[ 409 to  only]," Georgia,  Missouri"
412," decades,  this,  up,  30,  decades,  last,  the,  three,  last,  1953, ades, es,  week,  to,  days,  year,  first,  days,  month","[ 1 to ,634]"," Ireland,  Ireland,  Ireland,  Ireland,  the,  States,  Ireland, lin, BLIN,  United"
413," 15,  their,  recent,  30,  2019,  1990,  15,  24,  27,  the,  30,  20,  ages,  to,  15,  2019,  the,  week,  weeks,  30s,  decades,  weeks,  past,  years, s,  35,  39,  weeks,  16th",[ 27 to .6],"S,  the,  States,  the,  States, .C,  United,  United"
414," a,  Daily,  the,  week,  Friday,  Oct,  week,  National,  holiday,  Oct, as,  month,  past, . 16, long,  Day, . 1",[ 1 to .4 billion]," Chin,  Xin,  Inner,  Yun,  Chin,  China,  Beijing, as, jiang,  Mongolia, nan, as, as, ijings, as"
415," Thursday,  3, old,  Friday,  Friday,  Day, -year-",[ 24 to  Four]," Thailand,  Thailand,  New,  United,  New, ands, k, ailands,  York,  States,  York"
416," years,  teens,  December,  year,  2020",[ 11 to s],"La,  Louisiana,  Wisconsin,  Pennsylvania,  North,  Louisiana,  Baton,  Florida,  Carolina, ys,  Rouge, ys"
417,N/A,[ 11 to ooka]," Texas,  Grape,  Texas,  Houston,  Grape, vine, vine, leyville, vine"
418," early,  year,  the,  1980,  the,  old,  this,  early, s,  bad,  days",[ 416 to  one]," Florida,  Lee,  County"
419," a,  Day,  A,  day,  Thursday,  the,  of,  week,  the,  two,  the,  of,  late,  two,  last,  monthly,  Friday,  four,  Choppy,  choppy,  start,  the,  week, -day,  spring,  2020, -,  Wednesday, -year,  week,  decades",[ 417 to  500]," U,  U,  New U, S, .S., .S., ."
420," 1990,  87,  Wednesday,  recent, 2002,  2000,  years",[ 418 to  One]," the,  States,  the,  States, ',  United,  United, ""', in""'"
421," February,  just,  first,  months,  the,  the,  fiscal, long,  the,  four,  of,  year,  2021,  year",[ 30 to .]," Ukraine,  EU,  Mo,  St,  Ukraine,  Ukraine,  Ukraine,  Ukraine,  Ukraine,  Afghanistan,  Syria,  Ukraine, REKA, ., . Louis"
422," February,  2021,  14,  22,  Friday,  summer,  Aug.,  last,  March,  the,  season,  end,  a,  year,  20, year, old,  2019, -year,  12,  December, .,  regular, 's,  tough, -, -",[ 340 to  one]," SAN,  Queens,  Dominican,  San,  DIEGO,  Republic,  Diego"
423," Next,  next,  Thursday,  September,  Thursday,  50,  This,  November,  January,  2019,  Last,  August,  Year,  year,  years,  summer,  2023,  month",[ 421 to  one]," New,  City,  New,  Massachusetts,  California,  Idaho,  Idaho,  York,  York"
424, daily,[ 422 to  500]," Maine,  Bedford,  Falls"
425," two,  ago,  Every,  years,  This,  later,  year,  this,  a,  Tuesday,  these,  weeks,  four,  year,  this,  year,  recent,  days",[ 423 to Five]," BUEN,  Argentina,  Argentina,  Argentina,  Argentina,  Buenos,  Villa, OS AIRES,  Aires,  Urquiza, shund"
426," Thursday,  early,  early,  these,  2019,  recent,  months,  earlier,  year,  February,  Thursday,  days,  weeks,  this",[ 424 to  two]," Syria,  U, S,  Syria,  Syria,  Syria,  Syria,  U, S,  U,  Syria,  Syria,  Syria,  Washington,  Britain,  Iraq,  Syria,  Iraq,  Syria, ., ., .S., ayshi, ., ., .S."
427," 1930,  A,  or,  years,  1933,  2013,  the, s,  dozen,  so,  1970s",[ 425 to  three]," Amsterdam,  France"
428,N/A,[ 426 to  two]," Ukraine,  Ukraine,  Ukraine, ky"
429," 29,  Aug, ,,  29,  decades,  nearly,  decades,  years, . 15,  1945,  years, les,  three, ,",[ 427 to  four]," Japan,  Philippines, 000, ang, ang"
430," last,  last,  Wednesday,  Thursday,  2024,  month,  week",[ 428 to  500]," New,  Manhattan,  Manhattan,  New,  New,  New,  Manhattan,  New,  New,  Jersey, th,  Jersey,  Jersey,  Jersey,  Jersey,  York, ."
431," 2014,  this,  the,  week,  1980s","[ 4 to ,000]"," U, S,  Russia,  Ukraine,  U, S,  the,  States,  Ukraine,  Britain,  Germany,  Crimea,  Russia,  Ukraine,  the,  States,  Crimea,  Ukraine,  Russia,  Ukraine,  the,  States,  the,  States, ., ., ., .,  United,  United, ens,  United,  United"
432,"17,  1969,  the,  Thursday,  summer, 76,  months",[ 430 to  500], Philadelphia
433," Oct,  a,  more,  a,  November,  this,  Thursday,  little,  than,  week,  April,  three,  years,  several,  Oct,  November,  Oct.,  Thursday,  their,  day, . 28,  little,  than,  week,  week,  more,  a,  weeks,  weeks, . 28,  28,  third",[ 4 to 31], Delaware
434," Thursday,  Thursday,  early,  30s",[ 2 to  two]," Las,  Las,  Las,  Las,  Montreal,  Vegas,  Vegas,  Vegas,  Vegas, 100"
435," Sept,  the,  three,  decades,  2022,  Oct, , 2022,  Oct, ,,  2022, 10, 07, . 30,  past,  years, 21,  7,  7,  2022, -, -",[ 0 to 3624331]," Texas,  Buffalo,  N,  El,  Texas,  Ga,  Md,  Texas,  United, US,  New,  New,  N,  New,  New,  N,  United,  New,  N, United,  New,  Times, .Y.,,  Paso, ara, arajah, ithersburg, .,  States,  York, .Y.,  York,  York, .Y.,  States,  York, .Y.,  States,  York"
436," as,  as,  as,  recent,  2018,  2020,  this,  early,  Friday,  early,  Friday,  years,  season",[ 200 to 34]," the,  States,  the,  States,  Virginia,  Ald,  United, en,  United, en"
437," Sept.,  next,  Wednesday,  42,  Sept,  Wednesday,  29,  month, . 28",[ 435 to  two]," Florida,  MI,  Florida,  Fort,  Florida,  Florida,  Florida, AMI,  Myers, ens"
438," Today,  this,  next,  Wednesday,  today,  today,  between,  and,  2022,  winter,  month,  2015,  early",[ 100 to  roughly]," America,  Russia,  Saudi,  Iran,  Ky,  Russia,  Saudi,  Russia,  Russia,  Ukraine,  Ukraine,  Ukraine,  Ky,  Washington, ., .,  Arabia, iv,  Arabia, iv"
439," July,  years,  later",[ 4 to 37],N/A
440," decades,  Thursday,  1970,  this,  two,  2050,  autumn,  Thursday,  several,  Thursday,  next, s,  winter,  years,  days,  summer",[ 28 to 38]," France,  Russia,  France,  the,  of,  Russia,  Ukraine,  France,  France,  Russia,  Paris,  France,  Ukraine,  E, U,  Germany,  Italy,  Spain, lenecks, owers, s, riety,  City,  Light, ., .'"
441," last,  two,  year,  decades",[ 2 to 39]," Ghana,  Pakistan,  Ghana,  Egypt,  Sri,  U,  America,  Russia,  Ukraine,  America,  Lanka, .S."
442," her,  1988,  the,  of,  2021,  Oct,  these,  a,  years,  age,  87, . 11,  days,  Saturday",[ 440 to  one]," California,  L,  Sacramento,  New,  City,  Manhattan,  New,  California,  Los,  Sacramento,  Hollywood,  Sacramento,  New,  New,  New,  California,  California, OS ANGELES,  York,  York,  Angeles,  Yorker,  York,  York"
443," 2, old,  eight,  Thursday,  day,  end,  2,  eight,  pregnant,  34,  Thursday,  2012,  May,  Thursday,  two,  June,  recent, -year-,  months, 's, -year-old,  months,  years,  years",[ 10 to -six]," Thailand,  N,  Lamp,  Thailand,  the,  States,  U,  Texas,  Thailand,  the,  States, res, tita, u, ong Bua, hu Province,  United, valde,  United"
444," Months,  the,  years,  2022,  1973,  few",[ 4 to 42],N/A
445," This,  this,  week,  week",[ 443 to  millions]," Mexico,  Mexico,  Mexico,  Mexico, Mexico,  Mexico"
446," This,  This,  Sunday, This,  100,  before,  Weekend, re,  weekend,  week,  years",[ 10 to  500], Australia
447," just,  just,  months,  Thursday,  Thursday,  daily,  weeks,  three,  ago",[ 445 to  500]," Saudi,  Washington,  W,  Saudi,  Washington,  Saudi,  Riyadh,  New,  Saudi,  New,  Saudi,  Russia,  Saudi,  Ukraine,  Arabia, ASHINGTON,  Arabia,  Arabia,  Jersey,  Arabia,  York,  Arabia,  Arabia"
448," decades,  decades,  June,  last,  the,  1972,  a few,  of,  year,  sixth century,  weeks",[ 446 to  one]," Kath,  Nepal,  M,  Nepal,  Kath,  Kath,  Nepal,  Nepal, mandu, ELAMCHI, mandu, mandu, amchi"
449," decades,  the,  century,  today,  months,  years,  21st",[ 4 to 47]," U,  the,  States,  Australia,  eurozone,  the,  States,  U, .S.,  United,  United, .S."
450," the,  the, 19,  the,  year,  1962, 19,  1960s,  years, 11-1984,  mid-50s, s,  of, 07-1969",[ 448 to  four]," New,  Buffalo,  N, th, th,  York, .Y, th"
451," Six,  ago,  Thursday,  this,  weeks,  week",[ 4 to 49]," L,  Britain,  France,  Prague,  Britain,  Britain,  E,  Ukraine,  France,  Britain,  Northern,  Britain,  Northern,  Brussels,  Northern, ONDON, .U.,  Ireland,  Ireland,  Ireland"
452," about,  years,  five",[ 450 to  two]," Greenwich,  Village"
453," Oct,  2017,  the,  today, . 2), es,  1960s",[ 451 to  500]," Russia,  Ukraine,  Ukraine,  U.S,  Ukraine,  Ukraine,  Ukraine,  The,  States,  New,  Vietnam,  U, S,  Russia,  Chicago, s, .,  United,  York, ., ."
454," more,  a,  Thursday,  the,  between,  and,  about,  month,  more,  a, century,  Thursday,  Today,  his,  years,  than,  half-century,  1970s,  1992,  2021,  a,  than,  half-,  36",[ 452 to  thousands]," America,  W,  District,  Columbia,  America, s, ASHINGTON,  of"
455," 2020,  March,  2020,  Thursday,  41,  March,  a,  later,  more,  five,  2020,  2020,  week,  than,  months",[ 12 to 3]," Rochester,  Rochester,  N,  Rochester,  Monroe, .Y.,,  County"
456," Thursday,  next,  last,  recent,  next,  Tuesday,  annual,  Thursday,  quarters,  2022,  20,  year,  year,  months,  year,  consecutive, 23",[ 4 to 54]," W,  Russia,  Ukraine,  Washington, ., ., s, ASHINGTON, ."
457," recent,  August,  18,  August,  weeks,  months",[ 300 to  two]," U, S,  Florida, ., ."
458," this,  40,  Thursday,  December,  early,  next,  next,  before the end,  year,  this,  Thursday,  year,  years,  November,  month,  month,  of the,  week",[ 1 to 56],pp
459," 2017,  18,  months",[ 457 to  two],N/A
460," decades,  1997,  Thursday,  the,  82,  1901,  three,  2020,  1960s, ar,  years",[ 119 to  500]," Normandy,  Stockholm,  Paris"
461,"1987,  her,  every,  20s,  day",[ 4 to 59],N/A
462," Thursday,  Thursday,  next,  Thursday,  20,  the,  21,  week,  years,  past,  days",[ 10 to  six]," U, S,  Ap,  the,  States,  Uganda,  the,  States,  Uganda,  Uganda,  U,  Uganda,  Uganda,  United,  New,  New,  Chicago,  Washington,  D,  Uganda,  the,  States,  Uganda,  the,  States,  Uganda,  the,  States, ., ., oorva,  United,  United, .S.,  States,  York,  Jersey, ,, .C,  United,  United,  United, ."
463,N/A,[ 4 to 61]," London,  New,  Orleans"
464," the,  this,  1974,  25, old,  12, sc,  '70s,  Sunday, -year-,  years",[ 4 to 62]," New,  Manhattan,  New, 's,  New, ble,  York,  York,  York"
465," 2020,  30,  ago,  23, year, old,  1970,  April,  1992,  2020,  years, -, -",[ 14 to 63]," BO,  Mont,  Montana,  Garfield,  Connecticut,  Montana,  Montana,  Helena,  Montana,  Montana,  Montana,  Utah, ZEMAN, .,  County"
466," recent,  Thursday,  Last,  the,  week,  Wednesday,  days,  month,  last",[ 4 to 64]," Ukraine,  Russia,  Russia,  Ukraine,  Russia,  Ukraine,  Ukraine,  Russia,  K,  Ukraine,  Ukraine,  Russia,  Russia,  Siberia, qu, herson"
467," Thursday,  August,  August,  today, Today,  tomorrow",[ 11 to  nine]," China,  China,  Xin,  GEN,  China,  Xin,  The,  States,  China,  Xin,  China,  the,  States,  the, 's,  of,  Xin,  the,  States,  China,  Geneva,  China,  China,  Cuba,  Erit,  Venezuela,  Indonesia,  Pakistan,  Somalia, ., ., ., yghurs, jiang, EVA, yghur, jiang,  United, ., jiang,  United,  People,  Republic,  China, jiang, .,  United, rea"
468," Jan,  summer,  July,  Jan.,  Thursday,  Oct,  2020,  last,  last,  only,  each,  day,  next,  next,  2020, . 6, time,  6, ,, . 13,  week,  week,  months,  passing,  month,  week",[ 4 to 66]," W,  Mississippi,  Florida,  Maryland, ASHINGTON"
469," their,  week,  the,  week,  2009,  third,  first",[ 4 to 67]," Iran,  Iran,  Iran,  Iran,  Iran,  Am,  the,  Republic,  Iran, ol,  Islamic"
470," Oct,  2017,  the,  today, . 2), es,  1960s",[ 4 to s]," Russia,  Ukraine,  Ukraine,  U.S,  Ukraine,  Ukraine,  Ukraine,  The,  States,  New,  Vietnam,  U, S,  Russia,  Chicago, .,  United,  York, ., ."
471," late,  years,  Dec., ,, ,,  10,  weeks,  Thursday,  14,  2012,  years",[ 15 to 69]," Connecticut,  W,  Conn,  Newtown,  Conn, ATERBURY, ., .,"
